population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,16,Philippines,3,Both,30,80-84 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.08070922065326376,0.10678408282051301,0.05955606007467292
1,All Population,1,Deaths,16,Philippines,3,Both,30,80-84 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,723.7866176451437,953.0714899561535,529.76410964114
1,All Population,1,Deaths,16,Philippines,3,Both,31,85-89 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,3662.3073137920746,4956.412843084822,2649.6191912536497
1,All Population,1,Deaths,16,Philippines,3,Both,31,85-89 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.08235774974578401,0.1103738195323557,0.06009829111378215
1,All Population,1,Deaths,16,Philippines,3,Both,31,85-89 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,1301.5163051908585,1761.417482972735,941.6256705100275
1,All Population,1,Deaths,16,Philippines,3,Both,32,90-94 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,1714.926161839262,2361.031732166896,1184.041938993581
1,All Population,1,Deaths,16,Philippines,3,Both,32,90-94 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.082008967732494,0.11177696671837742,0.05651333348947875
1,All Population,1,Deaths,16,Philippines,3,Both,32,90-94 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,1837.4929250886037,2529.7760336884967,1268.6661002217663
1,All Population,1,Deaths,16,Philippines,3,Both,34,2-4 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,106.88698978605397,170.16022419775965,45.011576399974736
1,All Population,1,Deaths,16,Philippines,3,Both,34,2-4 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.01475066539030298,0.023266040463502585,0.005695842332545592
1,All Population,1,Deaths,16,Philippines,3,Both,34,2-4 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,1.7380622966027897,2.7669323521186047,0.7319218551111202
1,All Population,1,Deaths,16,Philippines,3,Both,37,20+ years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,41724.40056393277,54186.203478995194,30817.42847218254
1,All Population,1,Deaths,16,Philippines,3,Both,37,20+ years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07086072544593204,0.09156112927914493,0.0525979862515509
1,All Population,1,Deaths,16,Philippines,3,Both,37,20+ years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,59.37079501266449,77.10303649147797,43.8509649967502
1,All Population,1,Deaths,16,Philippines,3,Both,39,0-14 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,2181.6841071639774,2646.4910393851055,1636.488540617351
1,All Population,1,Deaths,16,Philippines,3,Both,39,0-14 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.03336392213451363,0.040340853067279116,0.02604118350784927
1,All Population,1,Deaths,16,Philippines,3,Both,39,0-14 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,6.5836943212691255,7.986347780632094,4.93845111503792
1,All Population,1,Deaths,16,Philippines,3,Both,41,50-74 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,21749.71283102893,27762.90019877214,16068.957404359788
1,All Population,1,Deaths,16,Philippines,3,Both,41,50-74 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07507983259750044,0.09626378072192782,0.05550182115101008
1,All Population,1,Deaths,16,Philippines,3,Both,41,50-74 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,120.48984099275943,153.8019125326381,89.01938787019574
1,All Population,1,Deaths,16,Philippines,3,Both,42,<28 days,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,1536.4302635232586,1842.9351473647532,1296.7665448496216
1,All Population,1,Deaths,16,Philippines,3,Both,42,<28 days,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.06420733004140719,0.07340677466137026,0.055803020479478764
1,All Population,1,Deaths,16,Philippines,3,Both,42,<28 days,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,1027.1608716340859,1232.0708054730508,866.9367469104761
1,All Population,1,Deaths,16,Philippines,3,Both,157,25+ years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,41669.75665137121,54121.94310620306,30774.400992570296
1,All Population,1,Deaths,16,Philippines,3,Both,157,25+ years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.0720868421731722,0.09321738661582157,0.05344779978527733
1,All Population,1,Deaths,16,Philippines,3,Both,157,25+ years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,69.76681003745655,90.61524777165329,51.52494184279125
